id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-150619,2025-02-19,000001,Vente,131500,8,,RUE PERINOT,7150,33200,33063,Bordeaux,33,,,33063000YO0143,,,73,33.47,,,,,,,,,1,2,Appartement,34,2,,,,,,-0.627015,44.854912
2025-150620,2025-02-18,000001,Vente,193000,11,,RUE COMAYROU,2185,33800,33063,Bordeaux,33,,,33063000BT0034,,,,,,,,,,,,,0,1,Maison,52,3,S,sols,,,78,-0.553397,44.825784
2025-150620,2025-02-18,000001,Vente,193000,11,,RUE COMAYROU,2185,33800,33063,Bordeaux,33,,,33063000BT0034,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,78,-0.553397,44.825784
2025-150621,2025-02-07,000001,Vente,360000,60,,RUE PROMIS,7665,33100,33063,Bordeaux,33,,,33063000BH0164,,,,,,,,,,,,,0,1,Maison,60,3,S,sols,,,112,-0.5539,44.839904
2025-150622,2025-02-27,000001,Vente,278000,9,,RUE POURMANN,7505,33300,33063,Bordeaux,33,,,33063000SC0076,,,123,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.548823,44.867794
2025-150622,2025-02-27,000001,Vente,278000,9,,RUE POURMANN,7505,33300,33063,Bordeaux,33,,,33063000SC0076,,,73,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.548823,44.867794
2025-150622,2025-02-27,000001,Vente,278000,9,,RUE POURMANN,7505,33300,33063,Bordeaux,33,,,33063000SC0076,,,229,54.4,,,,,,,,,1,2,Appartement,54,3,,,,,,-0.548823,44.867794
2025-150625,2025-02-17,000001,Vente,781600,23,,RUE MAUBOURGUET,6170,33000,33063,Bordeaux,33,,,33063000PC0110,,,,,,,,,,,,,0,1,Maison,131,5,S,sols,,,144,-0.583537,44.850199
2025-150630,2025-02-17,000001,Vente,755000,54,,RUE DU TONDU,8975,33000,33063,Bordeaux,33,,,33063000HA0073,,,1,160.64,,,,,,,,,1,2,Appartement,190,8,,,,,,-0.583208,44.831418
2025-150630,2025-02-17,000001,Vente,755000,54,,RUE DU TONDU,8975,33000,33063,Bordeaux,33,,,33063000HA0073,,,1,160.64,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.583208,44.831418
2025-150631,2025-02-07,000001,Vente,340000,41,,RUE DES BAHUTIERS,0550,33000,33063,Bordeaux,33,,,33063000KI0324,,,13,72.81,,,,,,,,,1,2,Appartement,71,3,,,,,,-0.570953,44.838524
2025-150631,2025-02-07,000001,Vente,340000,41,,RUE DES BAHUTIERS,0550,33000,33063,Bordeaux,33,,,33063000KI0324,,,13,72.81,,,,,,,,,1,2,Appartement,15,1,,,,,,-0.570953,44.838524
2025-150635,2025-02-19,000001,Vente,242000,212,,RUE JUDAIQUE,4810,33000,33063,Bordeaux,33,,,33063000MA0188,,,19,,,,,,,,,,1,2,Appartement,50,1,,,,,,-0.594593,44.839697
2025-150635,2025-02-19,000001,Vente,242000,212,,RUE JUDAIQUE,4810,33000,33063,Bordeaux,33,,,33063000MA0188,,,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.594593,44.839697
2025-150641,2025-02-18,000001,Vente,33000,108,,RUE MOUNEYRA,6605,33000,33063,Bordeaux,33,,,33063000EX0211,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.586351,44.831488
